,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
953,AMZN,2020-11-23 00:00:00+00:00,3098.39,3139.745,3065.46,3116.6986,4708887,3098.39,3139.745,3065.46,3116.6986,4708887,0.0,1.0
954,AMZN,2020-11-24 00:00:00+00:00,3118.06,3134.25,3086.258,3100.5,3570889,3118.06,3134.25,3086.258,3100.5,3570889,0.0,1.0
955,AMZN,2020-11-25 00:00:00+00:00,3185.07,3198.0,3140.26,3141.87,3790403,3185.07,3198.0,3140.26,3141.87,3790403,0.0,1.0
956,AMZN,2020-11-27 00:00:00+00:00,3195.34,3216.19,3190.05,3211.26,2392867,3195.34,3216.19,3190.05,3211.26,2392867,0.0,1.0
957,AMZN,2020-11-30 00:00:00+00:00,3168.04,3228.39,3125.55,3208.48,4063916,3168.04,3228.39,3125.55,3208.48,4063916,0.0,1.0
958,AMZN,2020-12-01 00:00:00+00:00,3220.08,3248.95,3157.18,3188.5,4493554,3220.08,3248.95,3157.18,3188.5,4493554,0.0,1.0
959,AMZN,2020-12-02 00:00:00+00:00,3203.53,3232.0,3173.2601,3221.65,3129304,3203.53,3232.0,3173.2601,3221.65,3129304,0.0,1.0
960,AMZN,2020-12-03 00:00:00+00:00,3186.73,3228.64,3181.31,3205.46,2892039,3186.73,3228.64,3181.31,3205.46,2892039,0.0,1.0
961,AMZN,2020-12-04 00:00:00+00:00,3162.58,3198.21,3158.76,3198.21,2913611,3162.58,3198.21,3158.76,3198.21,2913611,0.0,1.0
962,AMZN,2020-12-07 00:00:00+00:00,3158.0,3180.76,3141.69,3156.48,2751316,3158.0,3180.76,3141.69,3156.48,2751316,0.0,1.0
963,AMZN,2020-12-08 00:00:00+00:00,3177.29,3184.13,3120.02,3158.9,3286303,3177.29,3184.13,3120.02,3158.9,3286303,0.0,1.0
964,AMZN,2020-12-09 00:00:00+00:00,3104.2,3174.43,3088.0,3167.89,4100836,3104.2,3174.43,3088.0,3167.89,4100836,0.0,1.0
965,AMZN,2020-12-10 00:00:00+00:00,3101.49,3142.1,3076.0,3088.99,3030186,3101.49,3142.1,3076.0,3088.99,3030186,0.0,1.0
966,AMZN,2020-12-11 00:00:00+00:00,3116.42,3118.67,3072.82,3096.66,3064695,3116.42,3118.67,3072.82,3096.66,3064695,0.0,1.0
967,AMZN,2020-12-14 00:00:00+00:00,3156.97,3190.47,3126.0,3143.0,4155794,3156.97,3190.47,3126.0,3143.0,4155794,0.0,1.0
968,AMZN,2020-12-15 00:00:00+00:00,3165.12,3188.4999,3130.49,3181.01,3323686,3165.12,3188.4999,3130.49,3181.01,3323686,0.0,1.0
969,AMZN,2020-12-16 00:00:00+00:00,3240.96,3247.0,3163.68,3176.01,4427616,3240.96,3247.0,3163.68,3176.01,4427616,0.0,1.0
970,AMZN,2020-12-17 00:00:00+00:00,3236.08,3263.51,3221.0,3250.0,3474347,3236.08,3263.51,3221.0,3250.0,3474347,0.0,1.0
971,AMZN,2020-12-18 00:00:00+00:00,3201.65,3249.42,3171.6,3243.99,5995713,3201.65,3249.42,3171.6,3243.99,5995713,0.0,1.0
